127.0.0.1 - - [18/Nov/2017:11:59:47 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Nov/2017:11:59:49 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [18/Nov/2017:11:59:49 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:11:59:57 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [18/Nov/2017:11:59:57 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:00:00 +0530] "GET /JSDemo/abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:00:04 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:01:55 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:01:57 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:02:00 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:02:38 +0530] "GET /JSDemo/abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:02:41 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:02:50 +0530] "GET /JSDemo/abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:02:54 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:03:17 +0530] "GET /JSDemo/abc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:03:23 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:06:32 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:07:31 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:07:33 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:08:25 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:08:29 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:09:02 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:09:07 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:30:38 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:30:49 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:33:13 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:33:25 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:34:10 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:34:52 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:34:57 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:35:01 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:35:52 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [18/Nov/2017:12:35:56 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:13:28:52 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [18/Nov/2017:13:29:09 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [18/Nov/2017:13:29:14 +0530] "GET /JSDemo/oddNum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:13:30:08 +0530] "GET /JSDemo/abc.html HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:21:30 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:21:30 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:21:38 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:22:04 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:22:04 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:23:18 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:37 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:25:29 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:25:29 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:05 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:05 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:07 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:09 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:11 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:12 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:14 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:14 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:15 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:15 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:16 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:16 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:23 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:23 +0530] "GET /JSDemo/GenerateTable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:23 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:24 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:29:24 +0530] "GET /JSDemo/xyz.html HTTP/1.1" 304 -
